Cislo Obce,Nazev Obce,Pocet Volicu,Pocet Obalek,Pocet Validnich Obalek,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká pirátská strana,Česká str.sociálně demokrat.,Česká strana národně sociální,Řád národa - Vlastenecká unie
523917,Bělá pod Pradědem,1 546,945,938,331,0,0,0,1,70,42,1,77,7,12,2,1,0,3,53,2,10,8,158,33,79,47,0,1
524891,Bernartice,703,344,343,149,0,0,2,1,38,13,0,24,0,1,1,0,1,1,6,0,1,1,58,5,15,25,1,0
525227,Bílá Voda,242,140,138,18,0,0,1,1,14,16,0,17,0,2,1,0,1,0,5,1,0,6,25,9,13,7,0,1
533491,Černá Voda,495,269,269,89,0,0,2,0,30,15,0,14,0,1,1,0,0,1,16,0,4,2,40,13,27,14,0,0
569356,Česká Ves,1 964,1 139,1 126,355,0,0,0,1,92,52,0,62,2,8,4,4,0,0,139,0,10,9,193,61,64,70,0,0
553301,Hradec-Nová Ves,312,162,161,46,0,0,3,0,14,10,0,15,1,1,0,0,0,0,13,0,2,3,29,0,12,12,0,0
536148,Javorník,2 269,1 229,1 212,419,0,1,1,1,137,48,0,99,7,11,0,2,2,4,23,4,12,14,194,19,100,111,0,3
536385,Jeseník,9 650,5 561,5 528,1 745,11,6,6,6,456,230,8,446,32,32,2,1,15,15,371,15,49,46,826,355,457,392,2,4
557218,Kobylá nad Vidnavkou,341,169,167,56,0,2,0,0,25,22,0,6,0,2,0,0,0,1,9,0,0,2,27,4,6,5,0,0
540030,Lipová-lázně,1 903,1 106,1 086,329,3,0,1,1,109,45,0,102,3,4,0,0,1,0,40,3,20,15,201,37,101,70,0,1
540382,Mikulovice,2 110,1 135,1 117,369,2,0,0,5,160,62,0,54,6,6,2,0,1,4,99,4,10,7,173,18,55,78,0,2
569330,Ostružná,198,151,146,25,0,0,0,0,13,4,0,32,3,0,0,1,1,0,17,0,2,0,10,12,20,6,0,0
540684,Písečná,818,457,457,112,0,1,0,2,54,10,0,33,6,3,1,0,0,2,33,0,3,1,122,17,21,35,0,1
553484,Skorošice,626,357,349,145,0,0,1,0,54,15,0,16,1,1,0,0,0,0,19,1,3,1,40,6,17,29,0,0
541036,Stará Červená Voda,496,241,239,108,0,0,0,1,20,2,0,7,0,0,0,1,0,0,19,0,1,2,31,15,15,17,0,0
541117,Supíkovice,551,300,298,113,0,1,0,0,37,16,3,6,2,0,0,0,1,0,18,0,0,5,54,5,15,19,2,1
541214,Uhelná,406,220,217,83,0,0,0,3,17,24,0,11,0,0,0,0,1,0,11,0,1,2,27,4,14,19,0,0
541249,Vápenná,1 047,558,555,227,3,0,0,1,60,24,0,16,0,4,0,2,0,0,28,1,8,3,83,21,30,42,0,2
553468,Velká Kraš,612,300,296,125,1,0,0,4,29,2,0,8,0,0,1,0,1,1,25,0,3,3,44,7,13,28,1,0
569453,Velké Kunětice,461,263,261,101,0,0,0,1,43,7,1,2,0,3,0,1,0,1,13,0,0,0,60,3,10,15,0,0
541303,Vidnava,1 051,543,535,195,0,1,0,1,37,21,1,37,2,2,2,0,1,2,22,0,3,6,93,14,31,63,1,0
541346,Vlčice,348,196,196,62,0,0,0,0,21,15,0,7,4,1,0,0,0,0,4,3,2,3,28,7,23,16,0,0
597996,Zlaté Hory,3 328,1 698,1 689,541,3,0,0,5,156,71,1,116,12,12,1,2,3,10,89,3,37,15,255,47,123,184,1,2
541575,Žulová,1 032,590,588,206,1,1,2,4,95,19,0,30,2,5,1,1,3,1,27,1,2,8,88,10,32,49,0,0
